# Stacks v2.41;  Phylip interleaved; October 01, 2023
# Locus ID	LocusCnt	Sequence position	Length
839	139	13381	95
843	140	13476	96
845	141	13572	95
848	142	13667	95
857	143	13762	95
868	144	13857	95
869	145	13952	98
873	146	14050	95
881	147	14145	95
886	148	14240	96
898	149	14336	95
901	150	14431	95
902	151	14526	95
906	152	14621	95
912	153	14716	95
915	154	14811	95
920	155	14906	95
922	156	15001	95
924	157	15096	96
925	158	15192	104
928	159	15296	95
933	160	15391	95
936	161	15486	95
939	162	15581	99
953	163	15680	95
957	164	15775	95
976	165	15870	95
977	166	15965	95
980	167	16060	95
988	168	16155	97
989	169	16252	95
993	170	16347	95
1004	171	16442	95
1007	172	16537	95
1008	173	16632	95
1010	174	16727	95
1017	175	16822	95
1018	176	16917	95
1024	177	17012	97
1027	178	17109	95
1036	179	17204	95
1053	180	17299	95
1059	181	17394	96
1060	182	17490	95
1073	183	17585	95
1075	184	17680	95
1080	185	17775	96
1081	186	17871	95
1083	187	17966	95
1086	188	18061	95
1090	189	18156	95
1091	190	18251	95
1095	191	18346	95
1103	192	18441	95
1109	193	18536	96
1112	194	18632	96
1116	195	18728	95
1118	196	18823	98
1126	197	18921	95
1128	198	19016	95
1130	199	19111	95
1133	200	19206	95
1136	201	19301	95
1141	202	19396	95
1144	203	19491	95
1154	204	19586	96
1160	205	19682	97
1161	206	19779	95
1174	207	19874	96
1188	208	19970	95
1193	209	20065	95
1198	210	20160	97
1201	211	20257	95
1205	212	20352	96
1207	213	20448	99
1211	214	20547	95
1213	215	20642	95
1215	216	20737	95
1218	217	20832	95
1221	218	20927	97
1222	219	21024	102
1227	220	21126	95
1235	221	21221	98
1242	222	21319	95
1244	223	21414	95
1249	224	21509	95
1253	225	21604	95
1256	226	21699	95
1257	227	21794	95
1265	228	21889	95
1266	229	21984	95
1272	230	22079	96
1278	231	22175	96
1281	232	22271	95
1292	233	22366	95
1306	234	22461	95
1307	235	22556	95
1309	236	22651	95
1312	237	22746	95
1316	238	22841	95
1338	239	22936	95
1344	240	23031	95
1346	241	23126	95
1353	242	23221	95
1357	243	23316	95
1359	244	23411	95
1366	245	23506	95
1368	246	23601	95
1373	247	23696	95
1375	248	23791	95
1378	249	23886	95
1384	250	23981	95
1386	251	24076	95
1394	252	24171	95
1398	253	24266	95
1403	254	24361	95
1426	255	24456	95
1431	256	24551	95
1441	257	24646	95
1445	258	24741	97
1446	259	24838	95
1447	260	24933	95
1457	261	25028	95
1467	262	25123	95
1468	263	25218	95
1474	264	25313	95
1477	265	25408	95
1489	266	25503	97
1492	267	25600	95
1499	268	25695	95
1501	269	25790	102
1507	270	25892	95
1510	271	25987	95
1520	272	26082	95
1522	273	26177	95
1527	274	26272	95
1529	275	26367	95
1530	276	26462	100
1540	277	26562	99
1548	278	26661	95
1550	279	26756	95
1554	280	26851	95
1556	281	26946	95
1567	282	27041	95
1572	283	27136	96
1575	284	27232	95
1578	285	27327	96
1586	286	27423	95
1602	287	27518	95
1603	288	27613	95
1605	289	27708	96
1606	290	27804	95
1612	291	27899	95
1614	292	27994	96
1633	293	28090	95
1646	294	28185	95
1649	295	28280	95
1654	296	28375	95
1661	297	28470	95
1664	298	28565	95
1667	299	28660	95
1674	300	28755	95
1675	301	28850	95
1683	302	28945	95
1689	303	29040	95
1694	304	29135	95
1705	305	29230	95
1707	306	29325	95
1711	307	29420	95
1712	308	29515	95
1713	309	29610	95
1732	310	29705	95
1740	311	29800	95
1744	312	29895	95
1745	313	29990	96
1757	314	30086	95
1758	315	30181	95
1761	316	30276	95
1769	317	30371	95
1773	318	30466	95
1782	319	30561	95
1789	320	30656	95
1790	321	30751	95
1793	322	30846	96
1795	323	30942	95
1799	324	31037	95
1806	325	31132	95
1814	326	31227	95
1818	327	31322	95
1819	328	31417	95
1821	329	31512	96
1824	330	31608	95
1826	331	31703	95
1828	332	31798	95
1841	333	31893	95
1849	334	31988	95
1860	335	32083	95
1863	336	32178	95
1868	337	32273	102
1870	338	32375	95
1876	339	32470	95
1884	340	32565	95
1885	341	32660	95
1887	342	32755	95
1893	343	32850	95
1895	344	32945	95
1901	345	33040	95
1911	346	33135	95
1915	347	33230	95
1917	348	33325	95
1924	349	33420	96
1927	350	33516	95
1937	351	33611	95
1939	352	33706	95
1944	353	33801	95
1946	354	33896	95
1953	355	33991	95
1955	356	34086	95
1956	357	34181	95
1958	358	34276	95
1965	359	34371	95
1983	360	34466	95
2013	361	34561	95
2021	362	34656	95
2031	363	34751	95
2032	364	34846	95
2053	365	34941	100
2061	366	35041	95
2073	367	35136	95
2080	368	35231	95
2083	369	35326	95
2093	370	35421	95
2128	371	35516	95
2131	372	35611	95
2147	373	35706	95
2150	374	35801	95
2158	375	35896	95
2159	376	35991	95
2174	377	36086	95
2210	378	36181	96
2211	379	36277	95
2217	380	36372	95
2220	381	36467	97
2230	382	36564	95
2232	383	36659	95
2234	384	36754	95
2243	385	36849	95
2246	386	36944	95
2249	387	37039	95
2255	388	37134	95
2263	389	37229	95
2283	390	37324	95
2287	391	37419	95
2297	392	37514	95
2315	393	37609	95
2316	394	37704	95
2319	395	37799	95
2328	396	37894	95
2330	397	37989	95
2336	398	38084	95
2349	399	38179	95
2359	400	38274	96
2385	401	38370	96
2387	402	38466	95
2389	403	38561	95
2396	404	38656	95
2402	405	38751	95
2411	406	38846	95
2416	407	38941	95
2421	408	39036	95
2427	409	39131	95
2430	410	39226	95
2450	411	39321	95
2452	412	39416	95
2465	413	39511	102
2480	414	39613	104
2484	415	39717	95
2490	416	39812	95
2494	417	39907	95
2501	418	40002	95
2508	419	40097	102
2509	420	40199	95
2510	421	40294	95
2514	422	40389	95
2527	423	40484	95
2534	424	40579	95
2545	425	40674	95
2547	426	40769	95
2548	427	40864	95
2554	428	40959	95
2567	429	41054	95
2568	430	41149	95
2580	431	41244	95
2587	432	41339	95
2590	433	41434	95
2591	434	41529	96
2603	435	41625	95
2609	436	41720	95
2613	437	41815	95
2620	438	41910	95
2632	439	42005	95
2642	440	42100	95
2648	441	42195	95
2661	442	42290	95
2715	443	42385	95
2728	444	42480	95
2730	445	42575	95
2733	446	42670	95
2739	447	42765	95
2741	448	42860	95
2746	449	42955	95
2753	450	43050	95
2757	451	43145	95
2772	452	43240	95
2787	453	43335	95
2797	454	43430	95
2798	455	43525	95
2811	456	43620	95
2812	457	43715	95
2815	458	43810	95
2819	459	43905	103
2824	460	44008	95
2827	461	44103	95
2828	462	44198	95
2829	463	44293	95
2833	464	44388	95
2838	465	44483	96
2851	466	44579	95
2862	467	44674	96
2876	468	44770	95
2878	469	44865	96
2884	470	44961	95
2894	471	45056	95
2898	472	45151	96
2912	473	45247	103
2918	474	45350	95
2942	475	45445	96
2947	476	45541	95
2948	477	45636	95
2957	478	45731	95
2958	479	45826	95
2966	480	45921	95
2979	481	46016	95
2984	482	46111	95
2990	483	46206	95
2997	484	46301	95
3004	485	46396	95
3010	486	46491	95
3012	487	46586	95
3017	488	46681	95
3031	489	46776	95
3042	490	46871	95
3086	491	46966	95
3089	492	47061	95
3109	493	47156	95
3115	494	47251	95
3116	495	47346	95
3126	496	47441	95
3129	497	47536	97
3136	498	47633	95
3137	499	47728	97
3149	500	47825	99
3150	501	47924	95
3161	502	48019	95
3169	503	48114	95
3171	504	48209	95
3172	505	48304	95
3183	506	48399	95
3197	507	48494	95
3210	508	48589	95
3224	509	48684	96
3227	510	48780	95
3238	511	48875	95
3239	512	48970	95
3240	513	49065	95
3241	514	49160	95
3252	515	49255	95
3266	516	49350	95
3286	517	49445	95
3289	518	49540	95
3300	519	49635	95
3314	520	49730	95
3319	521	49825	95
3322	522	49920	95
3325	523	50015	95
3334	524	50110	95
3335	525	50205	95
3340	526	50300	95
3342	527	50395	95
3351	528	50490	95
3354	529	50585	95
3356	530	50680	102
3371	531	50782	95
3375	532	50877	95
3388	533	50972	95
3390	534	51067	96
3396	535	51163	95
3397	536	51258	95
3400	537	51353	95
3405	538	51448	95
3408	539	51543	95
3411	540	51638	96
3424	541	51734	95
3437	542	51829	95
3439	543	51924	95
3440	544	52019	95
3442	545	52114	95
3446	546	52209	95
3450	547	52304	96
3462	548	52400	97
3463	549	52497	95
3465	550	52592	95
3469	551	52687	95
3477	552	52782	95
3478	553	52877	95
3482	554	52972	96
3489	555	53068	95
3493	556	53163	95
3497	557	53258	95
3503	558	53353	95
3510	559	53448	95
3513	560	53543	95
3517	561	53638	95
3519	562	53733	95
3523	563	53828	95
3525	564	53923	95
3528	565	54018	95
3531	566	54113	95
3554	567	54208	95
3555	568	54303	95
3568	569	54398	95
3582	570	54493	95
3593	571	54588	95
3598	572	54683	95
3608	573	54778	95
3610	574	54873	95
3622	575	54968	95
3624	576	55063	95
3637	577	55158	95
3646	578	55253	95
3654	579	55348	95
3655	580	55443	95
3664	581	55538	95
3685	582	55633	95
3688	583	55728	95
3690	584	55823	95
3698	585	55918	95
3699	586	56013	95
3700	587	56108	95
3719	588	56203	95
3731	589	56298	95
3739	590	56393	95
3762	591	56488	97
3781	592	56585	95
3787	593	56680	95
3788	594	56775	95
3803	595	56870	95
3814	596	56965	95
3835	597	57060	95
3837	598	57155	95
3844	599	57250	95
3852	600	57345	95
3855	601	57440	95
3859	602	57535	95
3860	603	57630	95
3876	604	57725	95
3886	605	57820	95
3887	606	57915	95
3889	607	58010	96
3895	608	58106	95
3904	609	58201	95
3905	610	58296	95
3910	611	58391	95
3914	612	58486	95
3916	613	58581	95
3919	614	58676	95
3923	615	58771	95
3933	616	58866	95
3935	617	58961	95
3937	618	59056	95
3940	619	59151	95
3945	620	59246	95
3962	621	59341	95
3964	622	59436	95
3968	623	59531	96
3971	624	59627	95
3983	625	59722	96
3984	626	59818	96
3987	627	59914	95
3989	628	60009	95
3994	629	60104	95
4000	630	60199	95
4001	631	60294	95
4004	632	60389	95
4005	633	60484	98
4006	634	60582	95
4008	635	60677	95
4013	636	60772	95
4017	637	60867	95
4024	638	60962	95
4031	639	61057	95
4041	640	61152	95
4057	641	61247	95
4064	642	61342	95
4076	643	61437	95
4082	644	61532	95
4086	645	61627	95
4090	646	61722	95
4104	647	61817	95
4122	648	61912	95
4128	649	62007	95
4131	650	62102	95
4132	651	62197	95
4134	652	62292	95
4144	653	62387	95
4155	654	62482	95
4161	655	62577	95
4162	656	62672	95
4164	657	62767	96
4173	658	62863	95
4175	659	62958	95
4185	660	63053	95
4194	661	63148	95
4197	662	63243	95
4209	663	63338	95
4210	664	63433	103
4211	665	63536	95
4229	666	63631	95
4235	667	63726	95
4241	668	63821	95
4243	669	63916	95
4252	670	64011	95
4261	671	64106	98
4273	672	64204	95
4278	673	64299	95
4280	674	64394	95
4303	675	64489	95
4304	676	64584	95
4308	677	64679	95
4330	678	64774	95
4332	679	64869	95
4334	680	64964	95
4336	681	65059	95
4340	682	65154	96
4356	683	65250	95
4361	684	65345	95
4362	685	65440	95
4364	686	65535	95
4368	687	65630	95
4370	688	65725	95
4383	689	65820	95
4386	690	65915	95
4395	691	66010	95
4403	692	66105	95
4409	693	66200	95
4412	694	66295	95
4417	695	66390	95
4423	696	66485	95
4427	697	66580	95
4428	698	66675	95
4431	699	66770	95
4432	700	66865	95
4451	701	66960	95
4454	702	67055	95
4455	703	67150	95
4456	704	67245	95
4458	705	67340	95
4461	706	67435	95
4492	707	67530	95
4494	708	67625	95
4499	709	67720	95
4506	710	67815	95
4510	711	67910	95
4513	712	68005	95
4516	713	68100	95
4529	714	68195	95
4545	715	68290	95
4557	716	68385	95
4559	717	68480	95
4564	718	68575	95
4569	719	68670	96
4591	720	68766	95
4594	721	68861	95
4599	722	68956	95
4602	723	69051	95
4604	724	69146	95
4608	725	69241	95
4621	726	69336	96
4624	727	69432	95
4625	728	69527	95
4627	729	69622	95
4628	730	69717	95
4629	731	69812	95
4632	732	69907	96
4635	733	70003	95
4648	734	70098	95
4662	735	70193	95
4665	736	70288	95
4666	737	70383	95
4678	738	70478	95
4679	739	70573	95
4682	740	70668	95
4686	741	70763	95
4690	742	70858	95
4696	743	70953	95
4706	744	71048	95
4711	745	71143	95
4712	746	71238	95
4715	747	71333	95
4718	748	71428	100
4719	749	71528	95
4723	750	71623	95
4726	751	71718	95
4731	752	71813	95
4732	753	71908	95
4743	754	72003	95
4750	755	72098	96
4761	756	72194	95
4767	757	72289	95
4769	758	72384	95
4775	759	72479	95
4777	760	72574	95
4779	761	72669	95
4791	762	72764	96
4795	763	72860	95
4806	764	72955	95
4808	765	73050	95
4809	766	73145	95
4817	767	73240	95
4829	768	73335	95
4831	769	73430	95
4838	770	73525	95
4841	771	73620	95
4844	772	73715	95
4855	773	73810	95
4859	774	73905	98
4863	775	74003	95
4877	776	74098	95
4881	777	74193	98
4882	778	74291	95
4886	779	74386	95
4906	780	74481	95
4914	781	74576	95
4917	782	74671	95
4919	783	74766	95
4929	784	74861	95
4933	785	74956	95
4938	786	75051	95
4943	787	75146	95
4945	788	75241	95
4949	789	75336	95
4962	790	75431	95
4968	791	75526	95
4973	792	75621	95
4990	793	75716	96
4999	794	75812	95
5003	795	75907	95
5009	796	76002	95
5011	797	76097	95
5013	798	76192	95
5016	799	76287	96
5020	800	76383	95
5022	801	76478	95
5027	802	76573	95
5035	803	76668	96
5039	804	76764	95
5045	805	76859	95
5047	806	76954	95
5049	807	77049	95
5059	808	77144	95
5062	809	77239	95
5066	810	77334	95
5074	811	77429	95
5077	812	77524	95
5091	813	77619	95
5092	814	77714	96
5095	815	77810	95
5101	816	77905	95
5102	817	78000	95
5103	818	78095	95
5112	819	78190	95
5122	820	78285	95
5124	821	78380	95
5142	822	78475	95
5149	823	78570	95
5164	824	78665	95
5167	825	78760	95
5186	826	78855	95
5194	827	78950	95
5198	828	79045	95
5202	829	79140	95
5204	830	79235	95
5207	831	79330	95
5210	832	79425	99
5211	833	79524	95
5226	834	79619	95
5229	835	79714	95
5237	836	79809	95
5240	837	79904	95
5265	838	79999	95
5266	839	80094	95
5277	840	80189	95
5287	841	80284	95
5293	842	80379	95
5311	843	80474	95
5322	844	80569	95
5326	845	80664	95
5337	846	80759	95
5340	847	80854	95
5344	848	80949	95
5353	849	81044	95
5357	850	81139	95
5364	851	81234	95
5369	852	81329	95
5370	853	81424	95
5376	854	81519	97
5391	855	81616	95
5393	856	81711	95
5395	857	81806	95
5408	858	81901	95
5414	859	81996	95
5426	860	82091	96
5430	861	82187	95
5432	862	82282	95
5437	863	82377	95
5441	864	82472	95
5447	865	82567	95
5449	866	82662	95
5458	867	82757	95
5459	868	82852	96
5475	869	82948	95
5480	870	83043	95
5481	871	83138	95
5507	872	83233	95
5518	873	83328	95
5522	874	83423	95
5529	875	83518	95
5533	876	83613	95
5536	877	83708	95
5541	878	83803	95
5543	879	83898	95
5555	880	83993	95
5567	881	84088	95
5568	882	84183	95
5570	883	84278	103
5576	884	84381	95
5578	885	84476	95
5584	886	84571	95
5594	887	84666	96
5615	888	84762	95
5616	889	84857	95
5618	890	84952	95
5619	891	85047	95
5626	892	85142	95
5628	893	85237	95
5631	894	85332	95
5635	895	85427	95
5636	896	85522	95
5637	897	85617	95
5653	898	85712	95
5654	899	85807	96
5658	900	85903	95
5673	901	85998	95
5691	902	86093	95
5699	903	86188	95
5703	904	86283	95
5719	905	86378	95
5721	906	86473	95
5728	907	86568	95
5729	908	86663	95
5745	909	86758	95
5759	910	86853	96
5763	911	86949	98
5764	912	87047	95
5766	913	87142	95
5767	914	87237	95
5768	915	87332	95
5769	916	87427	95
5773	917	87522	95
5775	918	87617	95
5794	919	87712	95
5798	920	87807	95
5800	921	87902	95
5803	922	87997	95
5805	923	88092	95
5808	924	88187	95
5813	925	88282	95
5816	926	88377	95
5829	927	88472	95
5830	928	88567	95
5832	929	88662	95
5833	930	88757	95
5837	931	88852	95
5839	932	88947	95
5841	933	89042	95
5846	934	89137	95
5857	935	89232	95
5858	936	89327	95
5866	937	89422	95
5868	938	89517	95
5871	939	89612	95
5885	940	89707	95
5886	941	89802	95
5891	942	89897	95
5893	943	89992	95
5896	944	90087	95
5899	945	90182	95
5905	946	90277	95
5909	947	90372	95
5917	948	90467	95
5926	949	90562	95
5932	950	90657	95
5937	951	90752	95
5942	952	90847	95
5952	953	90942	95
5957	954	91037	95
5984	955	91132	95
5986	956	91227	95
5989	957	91322	95
5991	958	91417	95
6000	959	91512	95
6008	960	91607	95
6017	961	91702	96
6021	962	91798	95
6022	963	91893	95
6023	964	91988	95
6024	965	92083	95
6032	966	92178	95
6041	967	92273	95
6045	968	92368	95
6054	969	92463	95
6060	970	92558	95
6061	971	92653	95
6067	972	92748	95
6068	973	92843	95
6076	974	92938	95
6080	975	93033	95
6081	976	93128	96
6094	977	93224	95
6095	978	93319	95
6098	979	93414	98
6101	980	93512	95
6112	981	93607	95
6115	982	93702	95
6123	983	93797	95
6129	984	93892	95
6139	985	93987	96
6141	986	94083	95
6151	987	94178	95
6158	988	94273	95
6161	989	94368	95
6164	990	94463	95
6167	991	94558	95
6192	992	94653	95
6193	993	94748	95
6194	994	94843	95
6201	995	94938	95
6210	996	95033	95
6213	997	95128	95
6217	998	95223	95
6224	999	95318	95
6231	1000	95413	95
6233	1001	95508	95
6235	1002	95603	95
6236	1003	95698	95
6242	1004	95793	105
6245	1005	95898	95
6250	1006	95993	95
6263	1007	96088	95
6265	1008	96183	95
6266	1009	96278	95
6270	1010	96373	95
6273	1011	96468	95
6274	1012	96563	95
6282	1013	96658	96
6286	1014	96754	96
6289	1015	96850	102
6291	1016	96952	95
6299	1017	97047	96
6303	1018	97143	95
6312	1019	97238	95
6314	1020	97333	95
6317	1021	97428	95
6319	1022	97523	95
6320	1023	97618	95
6325	1024	97713	95
6330	1025	97808	95
6334	1026	97903	95
6344	1027	97998	95
6348	1028	98093	95
6351	1029	98188	95
6357	1030	98283	95
6360	1031	98378	95
6361	1032	98473	95
6368	1033	98568	95
6369	1034	98663	96
6373	1035	98759	95
6376	1036	98854	95
6381	1037	98949	95
6384	1038	99044	95
6391	1039	99139	95
6403	1040	99234	95
6406	1041	99329	95
6410	1042	99424	95
6412	1043	99519	95
6418	1044	99614	95
6424	1045	99709	96
6432	1046	99805	95
6434	1047	99900	95
6436	1048	99995	96
6448	1049	100091	95
6449	1050	100186	95
6452	1051	100281	95
6456	1052	100376	95
6459	1053	100471	95
6463	1054	100566	95
6469	1055	100661	95
6474	1056	100756	95
6487	1057	100851	95
6488	1058	100946	95
6498	1059	101041	95
6501	1060	101136	95
6503	1061	101231	95
6507	1062	101326	98
6510	1063	101424	95
6515	1064	101519	95
6517	1065	101614	95
6530	1066	101709	95
6535	1067	101804	95
6537	1068	101899	95
6540	1069	101994	95
6550	1070	102089	95
6552	1071	102184	95
6553	1072	102279	95
6558	1073	102374	96
6566	1074	102470	95
6571	1075	102565	95
6581	1076	102660	95
6583	1077	102755	95
6584	1078	102850	95
6590	1079	102945	95
6591	1080	103040	95
6592	1081	103135	95
6595	1082	103230	95
6599	1083	103325	95
6601	1084	103420	95
6602	1085	103515	95
6628	1086	103610	95
6638	1087	103705	95
6649	1088	103800	95
6650	1089	103895	95
6651	1090	103990	95
6665	1091	104085	95
6667	1092	104180	95
6669	1093	104275	95
6670	1094	104370	95
6672	1095	104465	95
6673	1096	104560	95
6675	1097	104655	95
6680	1098	104750	98
6682	1099	104848	95
6688	1100	104943	95
6701	1101	105038	95
6705	1102	105133	95
6706	1103	105228	95
6713	1104	105323	95
6723	1105	105418	95
6736	1106	105513	99
6737	1107	105612	95
6744	1108	105707	95
6745	1109	105802	95
6747	1110	105897	95
6749	1111	105992	95
6753	1112	106087	95
6755	1113	106182	95
6756	1114	106277	95
6758	1115	106372	95
6762	1116	106467	95
6764	1117	106562	95
6771	1118	106657	95
6773	1119	106752	95
6776	1120	106847	95
6798	1121	106942	97
6799	1122	107039	95
6805	1123	107134	95
6810	1124	107229	102
6821	1125	107331	95
6832	1126	107426	95
6837	1127	107521	98
6843	1128	107619	95
6844	1129	107714	95
6845	1130	107809	95
6856	1131	107904	95
6865	1132	107999	95
6866	1133	108094	95
6869	1134	108189	95
6871	1135	108284	95
6880	1136	108379	95
6881	1137	108474	95
6891	1138	108569	95
6893	1139	108664	95
6894	1140	108759	96
6895	1141	108855	95
6900	1142	108950	95
6910	1143	109045	95
6912	1144	109140	95
6914	1145	109235	95
6916	1146	109330	95
6920	1147	109425	95
6927	1148	109520	95
6930	1149	109615	95
6932	1150	109710	95
6936	1151	109805	95
6939	1152	109900	95
6940	1153	109995	95
6961	1154	110090	95
6975	1155	110185	95
6982	1156	110280	95
6984	1157	110375	95
6985	1158	110470	95
6988	1159	110565	95
6996	1160	110660	95
6999	1161	110755	95
7000	1162	110850	95
7008	1163	110945	95
7009	1164	111040	95
7017	1165	111135	95
7021	1166	111230	95
7032	1167	111325	95
7033	1168	111420	95
7035	1169	111515	95
7039	1170	111610	95
7044	1171	111705	95
7047	1172	111800	95
7049	1173	111895	95
7055	1174	111990	95
7059	1175	112085	95
7060	1176	112180	95
7064	1177	112275	95
7078	1178	112370	95
7081	1179	112465	95
7083	1180	112560	96
7087	1181	112656	96
7088	1182	112752	95
7091	1183	112847	95
7093	1184	112942	95
7099	1185	113037	96
7107	1186	113133	95
7114	1187	113228	95
7117	1188	113323	95
7123	1189	113418	95
7125	1190	113513	95
7133	1191	113608	96
7139	1192	113704	95
7141	1193	113799	95
7143	1194	113894	95
7148	1195	113989	95
7149	1196	114084	95
7152	1197	114179	95
7160	1198	114274	95
7161	1199	114369	95
7163	1200	114464	95
7169	1201	114559	95
7172	1202	114654	95
7173	1203	114749	95
7176	1204	114844	95
7178	1205	114939	95
7179	1206	115034	95
7185	1207	115129	95
7188	1208	115224	95
7192	1209	115319	95
7209	1210	115414	95
7214	1211	115509	95
7218	1212	115604	95
7220	1213	115699	95
7222	1214	115794	95
7224	1215	115889	95
7228	1216	115984	95
7231	1217	116079	95
7235	1218	116174	95
7243	1219	116269	95
7246	1220	116364	95
7247	1221	116459	95
7258	1222	116554	95
7262	1223	116649	95
7269	1224	116744	95
7273	1225	116839	95
7274	1226	116934	95
7279	1227	117029	95
7291	1228	117124	95
7292	1229	117219	95
7294	1230	117314	96
7300	1231	117410	95
7301	1232	117505	95
7320	1233	117600	95
7322	1234	117695	95
7324	1235	117790	95
7330	1236	117885	95
7336	1237	117980	95
7337	1238	118075	95
7338	1239	118170	95
7340	1240	118265	95
7341	1241	118360	95
7342	1242	118455	95
7343	1243	118550	95
7350	1244	118645	95
7353	1245	118740	95
7363	1246	118835	95
7367	1247	118930	104
7370	1248	119034	95
7372	1249	119129	95
7373	1250	119224	95
7379	1251	119319	95
7383	1252	119414	95
7384	1253	119509	95
7388	1254	119604	95
7395	1255	119699	95
7398	1256	119794	95
7403	1257	119889	95
7404	1258	119984	95
7419	1259	120079	96
7420	1260	120175	95
7423	1261	120270	95
7424	1262	120365	95
7431	1263	120460	95
7435	1264	120555	95
7437	1265	120650	95
7442	1266	120745	95
7459	1267	120840	95
7465	1268	120935	95
7471	1269	121030	95
7477	1270	121125	95
7478	1271	121220	95
7485	1272	121315	95
7486	1273	121410	95
7494	1274	121505	95
7502	1275	121600	95
7508	1276	121695	95
7516	1277	121790	95
7517	1278	121885	95
7528	1279	121980	95
7530	1280	122075	95
7534	1281	122170	96
7543	1282	122266	99
7547	1283	122365	95
7553	1284	122460	95
7559	1285	122555	95
7562	1286	122650	98
7569	1287	122748	95
7571	1288	122843	95
7574	1289	122938	95
7579	1290	123033	96
7583	1291	123129	95
7586	1292	123224	96
7591	1293	123320	95
7595	1294	123415	95
7596	1295	123510	95
7597	1296	123605	95
7598	1297	123700	95
7605	1298	123795	95
7615	1299	123890	95
7622	1300	123985	95
7625	1301	124080	95
7628	1302	124175	95
7630	1303	124270	95
7633	1304	124365	95
7635	1305	124460	95
7643	1306	124555	95
7648	1307	124650	95
7649	1308	124745	95
7653	1309	124840	95
7656	1310	124935	96
7657	1311	125031	95
7659	1312	125126	95
7660	1313	125221	95
7663	1314	125316	95
7677	1315	125411	96
7683	1316	125507	95
7685	1317	125602	101
7690	1318	125703	100
7701	1319	125803	95
7710	1320	125898	95
7714	1321	125993	95
7715	1322	126088	95
7724	1323	126183	95
7728	1324	126278	95
7733	1325	126373	95
7743	1326	126468	95
7744	1327	126563	96
7746	1328	126659	95
7750	1329	126754	95
7751	1330	126849	95
7754	1331	126944	97
7755	1332	127041	95
7760	1333	127136	95
7764	1334	127231	95
7766	1335	127326	95
7768	1336	127421	95
7770	1337	127516	95
7772	1338	127611	95
7773	1339	127706	96
7776	1340	127802	95
7777	1341	127897	95
7786	1342	127992	95
7791	1343	128087	95
7792	1344	128182	95
7794	1345	128277	95
7797	1346	128372	95
7799	1347	128467	98
7801	1348	128565	95
7803	1349	128660	95
7807	1350	128755	95
7810	1351	128850	95
7823	1352	128945	95
7825	1353	129040	95
7830	1354	129135	95
7835	1355	129230	95
7842	1356	129325	95
7846	1357	129420	95
7849	1358	129515	95
7854	1359	129610	95
7874	1360	129705	95
7875	1361	129800	95
7876	1362	129895	95
7878	1363	129990	95
7881	1364	130085	95
7883	1365	130180	95
7884	1366	130275	95
7890	1367	130370	95
7897	1368	130465	95
7900	1369	130560	95
7908	1370	130655	95
